time: 12:56:19 | value: 21.75
time: 12:56:20 | value: 21.61
time: 12:56:21 | value: 21.75
time: 12:56:22 | value: 21.41
time: 12:56:23 | value: 22.03
time: 12:56:24 | value: 21.8
time: 12:56:25 | value: 22.72
time: 12:56:26 | value: 21.16
time: 12:56:27 | value: 22.52
time: 12:56:28 | value: 21.41
time: 12:56:29 | value: 21.55
time: 12:56:30 | value: 22.14
time: 12:56:31 | value: 21.41
time: 12:56:32 | value: 21.75
time: 12:56:33 | value: 22.44
time: 12:56:34 | value: 21.75
time: 12:56:35 | value: 22.19
time: 12:56:36 | value: 21.86
time: 12:56:37 | value: 21.36
time: 12:56:38 | value: 22.28
time: 12:56:39 | value: 21.55
time: 12:56:40 | value: 21.89
time: 12:56:41 | value: 21.7
time: 12:56:42 | value: 21.75
time: 12:56:43 | value: 22.33
time: 12:56:44 | value: 21.36
time: 12:56:45 | value: 21.95
time: 12:56:46 | value: 21.86
time: 12:56:47 | value: 22.19
time: 12:56:48 | value: 21.75
time: 12:56:49 | value: 21.61
time: 12:56:50 | value: 21.75
time: 12:56:51 | value: 22.52
time: 12:56:52 | value: 22.52
time: 12:56:53 | value: 21.16
time: 12:56:54 | value: 21.66
time: 12:56:56 | value: 21.41
time: 12:56:57 | value: 21.3
time: 12:56:58 | value: 21.16
time: 12:56:59 | value: 22.39
time: 12:57:00 | value: 21.55
time: 12:57:01 | value: 22.0
time: 12:57:02 | value: 21.3
time: 12:57:03 | value: 21.75
time: 12:57:04 | value: 22.0
time: 12:57:05 | value: 20.85
time: 12:57:06 | value: 22.06
time: 12:57:07 | value: 21.75
time: 12:57:08 | value: 21.05
time: 12:57:09 | value: 21.41
time: 12:57:10 | value: 22.33
time: 12:57:11 | value: 21.89
time: 12:57:12 | value: 22.28
time: 12:57:13 | value: 22.58
time: 12:57:14 | value: 21.55
time: 12:57:15 | value: 22.0
time: 12:57:16 | value: 21.95
time: 12:57:17 | value: 21.21
time: 12:57:18 | value: 21.86
time: 12:57:19 | value: 21.16
time: 12:57:20 | value: 22.39
time: 12:57:21 | value: 21.41
time: 12:57:22 | value: 21.41
time: 12:57:23 | value: 22.0
time: 12:57:24 | value: 22.19
time: 12:57:25 | value: 22.39
time: 12:57:26 | value: 21.41
time: 12:57:27 | value: 21.61
time: 12:57:28 | value: 22.14
time: 12:57:29 | value: 21.3
time: 12:57:30 | value: 21.61
time: 12:57:31 | value: 21.8
time: 12:57:32 | value: 21.95
time: 12:57:33 | value: 21.75
time: 12:57:34 | value: 21.8
time: 12:57:35 | value: 22.14
time: 12:57:36 | value: 21.55
time: 12:57:37 | value: 22.06
time: 12:57:38 | value: 21.86
time: 12:57:39 | value: 22.06
time: 12:57:40 | value: 21.75
time: 12:57:41 | value: 21.86
time: 12:57:42 | value: 21.36
time: 12:57:43 | value: 21.66
time: 12:57:44 | value: 21.75
time: 12:57:45 | value: 21.8
time: 12:57:46 | value: 22.25
time: 12:57:47 | value: 21.5
time: 12:57:48 | value: 22.19
time: 12:57:49 | value: 21.36
time: 12:57:50 | value: 22.0
time: 12:57:51 | value: 21.95
time: 12:57:52 | value: 21.61
time: 12:57:53 | value: 21.86
time: 12:57:54 | value: 21.55
