CPU,POWER
0.0516304347826,4662.5
14.806097561,8810.03579952
16.9679439252,9472.22361809
19.1697574124,10146.6642651
22.2773254282,11227.7610442
25.080620155,12764.980916
50.0661139896,15019.9548193
75.0645226131,15316.6715976
99.1413043478,15566.4194915
