time: 13:49:02 | value: 15.83
time: 13:49:03 | value: 15.83
time: 13:49:04 | value: 15.11
time: 13:49:05 | value: 16.04
time: 13:49:06 | value: 15.87
time: 13:49:07 | value: 15.79
time: 13:49:08 | value: 15.15
time: 13:49:09 | value: 16.0
time: 13:49:10 | value: 15.96
time: 13:49:11 | value: 15.79
time: 13:49:12 | value: 15.96
time: 13:49:13 | value: 16.08
time: 13:49:14 | value: 15.62
time: 13:49:15 | value: 15.83
time: 13:49:16 | value: 15.58
time: 13:49:17 | value: 15.15
time: 13:49:18 | value: 16.0
time: 13:49:19 | value: 16.04
time: 13:49:20 | value: 15.58
time: 13:49:21 | value: 16.0
time: 13:49:22 | value: 15.79
time: 13:49:23 | value: 16.46
time: 13:49:24 | value: 16.33
time: 13:49:25 | value: 16.12
time: 13:49:26 | value: 15.87
time: 13:49:27 | value: 15.87
time: 13:49:28 | value: 15.91
time: 13:49:29 | value: 16.46
time: 13:49:30 | value: 16.46
time: 13:49:31 | value: 16.08
time: 13:49:32 | value: 16.04
time: 13:49:33 | value: 16.08
time: 13:49:34 | value: 15.4
time: 13:49:35 | value: 16.08
time: 13:49:36 | value: 16.12
time: 13:49:37 | value: 16.71
time: 13:49:38 | value: 16.12
time: 13:49:39 | value: 16.33
time: 13:49:40 | value: 16.04
time: 13:49:41 | value: 16.12
time: 13:49:42 | value: 16.29
time: 13:49:43 | value: 15.62
time: 13:49:44 | value: 16.04
time: 13:49:45 | value: 16.37
time: 13:49:46 | value: 16.25
time: 13:49:47 | value: 16.5
time: 13:49:48 | value: 16.04
time: 13:49:49 | value: 16.54
time: 13:49:50 | value: 16.25
time: 13:49:51 | value: 16.08
time: 13:49:52 | value: 16.33
time: 13:49:53 | value: 16.33
time: 13:49:54 | value: 16.25
time: 13:49:55 | value: 16.5
time: 13:49:56 | value: 15.87
time: 13:49:57 | value: 16.0
time: 13:49:58 | value: 16.08
time: 13:49:59 | value: 16.04
time: 13:50:00 | value: 16.12
time: 13:50:01 | value: 16.08
time: 13:50:02 | value: 16.29
time: 13:50:03 | value: 15.66
time: 13:50:04 | value: 16.5
time: 13:50:05 | value: 16.75
time: 13:50:06 | value: 16.25
time: 13:50:07 | value: 15.91
time: 13:50:08 | value: 16.29
time: 13:50:09 | value: 16.29
time: 13:50:10 | value: 16.54
time: 13:50:11 | value: 16.04
