time: 14:20:57 | value: 50.25
time: 14:20:58 | value: 50.13
time: 14:20:59 | value: 50.0
time: 14:21:00 | value: 49.87
time: 14:21:01 | value: 50.0
time: 14:21:02 | value: 50.38
time: 14:21:03 | value: 50.38
time: 14:21:04 | value: 50.12
time: 14:21:05 | value: 50.25
time: 14:21:06 | value: 50.25
time: 14:21:07 | value: 50.0
time: 14:21:08 | value: 50.13
time: 14:21:09 | value: 50.0
time: 14:21:10 | value: 50.25
time: 14:21:11 | value: 50.0
time: 14:21:12 | value: 50.13
time: 14:21:13 | value: 49.87
time: 14:21:14 | value: 50.0
time: 14:21:15 | value: 50.0
time: 14:21:16 | value: 50.13
time: 14:21:17 | value: 50.25
time: 14:21:18 | value: 49.87
time: 14:21:19 | value: 49.75
time: 14:21:20 | value: 50.13
time: 14:21:21 | value: 50.13
time: 14:21:22 | value: 50.13
time: 14:21:23 | value: 50.38
time: 14:21:24 | value: 50.13
time: 14:21:25 | value: 50.0
time: 14:21:26 | value: 50.0
time: 14:21:27 | value: 50.13
time: 14:21:28 | value: 50.13
time: 14:21:29 | value: 50.0
time: 14:21:30 | value: 50.0
time: 14:21:31 | value: 50.13
time: 14:21:32 | value: 50.0
time: 14:21:33 | value: 49.75
time: 14:21:34 | value: 50.0
time: 14:21:35 | value: 50.12
time: 14:21:36 | value: 50.0
time: 14:21:37 | value: 50.13
time: 14:21:38 | value: 49.88
time: 14:21:39 | value: 50.25
time: 14:21:40 | value: 50.0
time: 14:21:41 | value: 49.87
time: 14:21:42 | value: 50.25
time: 14:21:43 | value: 50.0
time: 14:21:44 | value: 50.0
time: 14:21:45 | value: 49.88
time: 14:21:46 | value: 50.0
time: 14:21:47 | value: 50.25
time: 14:21:48 | value: 50.25
time: 14:21:49 | value: 50.13
time: 14:21:50 | value: 49.88
time: 14:21:51 | value: 50.13
time: 14:21:52 | value: 50.0
time: 14:21:53 | value: 50.13
time: 14:21:54 | value: 50.0
time: 14:21:55 | value: 50.0
time: 14:21:56 | value: 50.13
time: 14:21:57 | value: 50.13
time: 14:21:58 | value: 50.13
time: 14:21:59 | value: 50.0
time: 14:22:00 | value: 50.25
time: 14:22:01 | value: 50.13
time: 14:22:02 | value: 49.88
time: 14:22:03 | value: 50.0
time: 14:22:04 | value: 49.88
time: 14:22:05 | value: 50.0
time: 14:22:06 | value: 50.13
time: 14:22:07 | value: 50.12
time: 14:22:08 | value: 50.0
time: 14:22:09 | value: 50.25
time: 14:22:10 | value: 50.13
time: 14:22:11 | value: 50.12
time: 14:22:12 | value: 49.88
time: 14:22:13 | value: 49.88
time: 14:22:14 | value: 50.12
time: 14:22:15 | value: 50.13
time: 14:22:16 | value: 50.0
time: 14:22:17 | value: 50.0
time: 14:22:18 | value: 50.13
time: 14:22:19 | value: 50.12
time: 14:22:20 | value: 50.12
time: 14:22:21 | value: 50.13
time: 14:22:22 | value: 49.88
time: 14:22:23 | value: 50.25
time: 14:22:24 | value: 50.12
time: 14:22:25 | value: 49.87
time: 14:22:26 | value: 50.0
time: 14:22:27 | value: 50.25
time: 14:22:28 | value: 50.0
time: 14:22:29 | value: 50.13
time: 14:22:30 | value: 50.0
time: 14:22:31 | value: 50.13
time: 14:22:32 | value: 50.0
time: 14:22:33 | value: 50.13
time: 14:22:34 | value: 50.0
time: 14:22:35 | value: 50.0
time: 14:22:36 | value: 50.0
time: 14:22:37 | value: 50.0
time: 14:22:38 | value: 50.0
time: 14:22:39 | value: 50.25
time: 14:22:40 | value: 50.25
