CPU (%),POWER (mW),Variance
19.9346153846,10528.1976744,36692.8918034
20.2777777778,10579.7560976,93123.1112433
20.3216216216,10507.0348837,38112.5743645
21.7666666667,10523.9772727,60488.7267562
